OBJECTID,FID_MZGE61FL,DHSID,DHSCC,DHSYEAR,DHSCLUST,CCFIPS,ADM1FIPS,ADM1FIPSNA,ADM1SALBNA,ADM1SALBCO,ADM1DHS,ADM1NAME,DHSREGCO,DHSREGNA,SOURCE,URBAN_RURA,LATNUM,LONGNUM,ALT_GPS,ALT_DEM,DATUM,created_user,created_date,last_edited_user,last_edited_date,FID_FTF_ZOI,OBJECTID_1,Distrito,FIRST_DIST,Province,Shape_Leng
75,106,MZ201100000107,MZ,"2,011.000000000000000",107.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.137250012999999,39.268661162000001,"9,999.000000000000000",374.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
76,108,MZ201100000109,MZ,"2,011.000000000000000",109.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.130916546000000,39.260415029999997,"9,999.000000000000000",401.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
77,180,MZ201100000181,MZ,"2,011.000000000000000",181.000000000000000,MZ,MZ09,Zambezia,Zambezia,MOZ011,4.000000000000000,Zambezia,4.000000000000000,Zambezia,GPS,R,-15.172569494999999,37.252932117999997,"9,999.000000000000000",827.000000000000000,WGS84,,,,,9,9.000000000000000,GURUE,GURUE,Zambezia,"429,005.849659000000000"
78,172,MZ201100000173,MZ,"2,011.000000000000000",173.000000000000000,MZ,MZ09,Zambezia,Zambezia,MOZ011,4.000000000000000,Zambezia,4.000000000000000,Zambezia,GPS,R,-15.160981398000001,37.493466056000003,"9,999.000000000000000",759.000000000000000,WGS84,,,,,1,1.000000000000000,ALTO_MOLOCUE,ALTO_MOLOCUE,Zambezia,"508,031.509400999990000"
79,113,MZ201100000114,MZ,"2,011.000000000000000",114.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.116798755000000,39.246152113000001,"9,999.000000000000000",397.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
80,109,MZ201100000110,MZ,"2,011.000000000000000",110.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.115396280000001,39.283418158000003,"9,999.000000000000000",425.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
81,112,MZ201100000113,MZ,"2,011.000000000000000",113.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.111620340000000,39.255796064000002,"9,999.000000000000000",426.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
82,111,MZ201100000112,MZ,"2,011.000000000000000",112.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.102071746000000,39.272113462999997,"9,999.000000000000000",424.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
83,110,MZ201100000111,MZ,"2,011.000000000000000",111.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,U,-15.097473962000000,39.287292149999999,"9,999.000000000000000",424.000000000000000,WGS84,,,,,6,6.000000000000000,CIDADE_DE_NAMPULA,CIDADE_DE_NAMPULA,Nampula,"77,472.857405500006000"
84,126,MZ201100000127,MZ,"2,011.000000000000000",127.000000000000000,MZ,MZ06,Nampula,Nampula,MOZ007,3.000000000000000,Nampula,3.000000000000000,Nampula,GPS,R,-15.018547675000001,39.808635356000003,"9,999.000000000000000",249.000000000000000,WGS84,,,,,15,15.000000000000000,MECONTA,MECONTA,Nampula,"382,819.503946000010000"
